token_index,token,clean_token,raw_gradient_score,normalized_gradient_score,pos,sentiment_category,meaningful_token,prediction,negative_probability,positive_probability
0,This,This,0.027375442907214165,0.026946243567210818,DET,other,True,negative,0.992073118686676,0.007926910184323788
1, movie,movie,0.15564140677452087,0.4066888820383791,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
2, spe,spe,0.09288626164197922,0.22089676952655304,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
3,nds,nds,0.17059430480003357,0.4509582484220657,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
4, most,most,0.03229006752371788,0.04149642089170499,ADJ,other,True,negative,0.992073118686676,0.007926910184323788
5, of,of,0.029454512521624565,0.03310151155208483,ADP,other,True,negative,0.992073118686676,0.007926910184323788
6, its,its,0.024959519505500793,0.019793690393712888,PRON,other,True,negative,0.992073118686676,0.007926910184323788
7, time,time,0.030463900417089462,0.0360898929676039,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
8, pre,pre,0.06859370321035385,0.14897651916626437,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
9,ach,ach,0.10801630467176437,0.2656905892358624,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
10,ing,ing,0.023329172283411026,0.014966904416561613,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
11, that,that,0.04571634903550148,0.08124610516036948,SCONJ,other,True,negative,0.992073118686676,0.007926910184323788
12, it,it,0.044230155646800995,0.07684609925321098,PRON,other,True,negative,0.992073118686676,0.007926910184323788
13, is,is,0.06223578378558159,0.13015334094536218,AUX,other,True,negative,0.992073118686676,0.007926910184323788
14, the,the,0.0576808825135231,0.11666815613969883,DET,other,True,negative,0.992073118686676,0.007926910184323788
15, script,script,0.04789620265364647,0.0876997530298203,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
16, that,that,0.13495098054409027,0.34543306006548985,SCONJ,other,True,negative,0.992073118686676,0.007926910184323788
17, makes,makes,0.1437666416168213,0.37153259804650623,VERB,other,True,negative,0.992073118686676,0.007926910184323788
18, the,the,0.1889418065547943,0.5052776369460162,DET,other,True,negative,0.992073118686676,0.007926910184323788
19, movie,movie,0.038405098021030426,0.05960050513484385,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
20,",",",",0.018326587975025177,0.00015631470777360774,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
21, but,but,0.05727188661694527,0.1154572879077256,CCONJ,other,True,negative,0.992073118686676,0.007926910184323788
22, apparently,apparently,0.14187118411064148,0.36592092981586527,ADV,other,True,negative,0.992073118686676,0.007926910184323788
23, there,there,0.023185057565569878,0.014540240151580598,PRON,other,True,negative,0.992073118686676,0.007926910184323788
24, was,was,0.021991483867168427,0.01100656050832268,VERB,other,True,negative,0.992073118686676,0.007926910184323788
25, no,no,0.07113801687955856,0.15650918299001723,DET,other,True,negative,0.992073118686676,0.007926910184323788
26, script,script,0.05985412374138832,0.12310222744763846,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
27, when,when,0.07685615867376328,0.17343824340958366,SCONJ,other,True,negative,0.992073118686676,0.007926910184323788
28, they,they,0.05410652980208397,0.10608597136874388,PRON,other,True,negative,0.992073118686676,0.007926910184323788
29, shot,shot,0.02175060100853443,0.010293405673305172,VERB,other,True,negative,0.992073118686676,0.007926910184323788
30, this,this,0.035423070192337036,0.05077195014239109,DET,other,True,negative,0.992073118686676,0.007926910184323788
31, waste,waste,0.35604456067085266,1.0,NOUN,negative_sentiment,True,negative,0.992073118686676,0.007926910184323788
32, of,of,0.037935204803943634,0.05820934504313908,ADP,other,True,negative,0.992073118686676,0.007926910184323788
33, time,time,0.2434256672859192,0.6665818863690123,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
34,!,!,0.0811137855052948,0.18604332115494743,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
35, The,The,0.025348180904984474,0.02094435656314592,DET,other,True,negative,0.992073118686676,0.007926910184323788
36, trailer,trailer,0.05011959746479988,0.09428230842092906,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
37, makes,makes,0.03427615016698837,0.04737639279101229,VERB,other,True,negative,0.992073118686676,0.007926910184323788
38, this,this,0.04480840638279915,0.07855806128557835,DET,other,True,negative,0.992073118686676,0.007926910184323788
39, out,out,0.060350120067596436,0.12457066808385531,ADP,other,True,negative,0.992073118686676,0.007926910184323788
40, to,to,0.03043617308139801,0.03600780375784175,PART,other,True,negative,0.992073118686676,0.007926910184323788
41, be,be,0.021402567625045776,0.009263022309416412,AUX,other,True,negative,0.992073118686676,0.007926910184323788
42, a,a,0.05260572209954262,0.10164269850338345,DET,other,True,negative,0.992073118686676,0.007926910184323788
43, comedy,comedy,0.03340645506978035,0.04480158415962139,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
44,",",",",0.03235369548201561,0.041684797044161996,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
45, but,but,0.03736887872219086,0.05653268699578429,CCONJ,other,True,negative,0.992073118686676,0.007926910184323788
46, the,the,0.02435668371617794,0.018008942154194463,DET,other,True,negative,0.992073118686676,0.007926910184323788
47, film,film,0.02652965672314167,0.024442219370624907,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
48, can't,can't,0.08769509196281433,0.2055278562834658,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
49, decide,decide,0.03804199397563934,0.05852550375428268,VERB,other,True,negative,0.992073118686676,0.007926910184323788
50, if,if,0.029712624847888947,0.03386567573751883,SCONJ,other,True,negative,0.992073118686676,0.007926910184323788
51, it,it,0.08805935829877853,0.20660629872723343,PRON,other,True,negative,0.992073118686676,0.007926910184323788
52, wants,wants,0.06487733870744705,0.1379738960283414,VERB,other,True,negative,0.992073118686676,0.007926910184323788
53, to,to,0.029757041484117508,0.03399717508563036,PART,other,True,negative,0.992073118686676,0.007926910184323788
54, be,be,0.02950279228389263,0.033244448023738396,AUX,other,True,negative,0.992073118686676,0.007926910184323788
55, a,a,0.05835837125778198,0.11867392100141645,DET,other,True,negative,0.992073118686676,0.007926910184323788
56, comedy,comedy,0.03581369295716286,0.05192842310598504,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
57,",",",",0.10171225666999817,0.2470269020887706,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
58, a,a,0.04098692908883095,0.0672442425084442,DET,other,True,negative,0.992073118686676,0.007926910184323788
59, drama,drama,0.07443805038928986,0.16627922169900047,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
60,",",",",0.0560491718351841,0.1118373335307092,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
61, a,a,0.2284361720085144,0.6222041706105166,DET,other,True,negative,0.992073118686676,0.007926910184323788
62, romance,romance,0.044949762523174286,0.07897655853996835,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
63, or,or,0.05966596305370331,0.12254516122489542,CCONJ,other,True,negative,0.992073118686676,0.007926910184323788
64, an,an,0.028833499178290367,0.031262947069245914,DET,other,True,negative,0.992073118686676,0.007926910184323788
65, action,action,0.027394264936447144,0.027001967835963106,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
66, film,film,0.04622281715273857,0.08274554845259083,NOUN,other,True,negative,0.992073118686676,0.007926910184323788
67,.,.,0.06404600292444229,0.1355126535118129,PUNCT,other,False,negative,0.992073118686676,0.007926910184323788
68, P,P,0.10346011817455292,0.25220159940838416,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
69,ress,ress,0.027037665247917175,0.0259462231744997,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
70, rele,rele,0.02777155302464962,0.028118962319596884,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
71,ases,ases,0.12782074511051178,0.32432337254722643,UNKNOWN,other,True,negative,0.992073118686676,0.007926910184323788
