token_index,token,clean_token,raw_gradient_score,normalized_gradient_score,pos,sentiment_category,meaningful_token,prediction,negative_probability,positive_probability
0,Don't,Don't,0.019716627895832062,0.014446649225204965,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
1, pay,pay,0.057250428944826126,0.12970396481775892,VERB,other,True,negative,0.9890833497047424,0.010916640982031822
2, any,any,0.19729943573474884,0.5597609300832703,ADV,other,True,negative,0.9890833497047424,0.010916640982031822
3, attention,attention,0.015751415863633156,0.0022704325401434323,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
4, to,to,0.02874193899333477,0.04216121850445275,PART,other,True,negative,0.9890833497047424,0.010916640982031822
5, the,the,0.02248554304242134,0.02294932462658152,DET,other,True,negative,0.9890833497047424,0.010916640982031822
6, ra,ra,0.02488349750638008,0.030312868597742237,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
7,ve,ve,0.04853106662631035,0.10292889097966892,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
8, reviews,reviews,0.06636352837085724,0.15768811103309516,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
9, of,of,0.021967699751257896,0.021359151876446172,ADP,other,True,negative,0.9890833497047424,0.010916640982031822
10, this,this,0.03923449665307999,0.07438135064571201,DET,other,True,negative,0.9890833497047424,0.010916640982031822
11, film,film,0.025722844526171684,0.03289030231476737,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
12, here,here,0.030359696596860886,0.04712896473453675,ADV,other,True,negative,0.9890833497047424,0.010916640982031822
13,.,.,0.0239859726279974,0.027556784607610525,PUNCT,other,False,negative,0.9890833497047424,0.010916640982031822
14, It,It,0.04589209705591202,0.0948252473274442,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
15, is,is,0.050446681678295135,0.10881128611231897,AUX,other,True,negative,0.9890833497047424,0.010916640982031822
16, the,the,0.022363904863595963,0.02257580290554187,DET,other,True,negative,0.9890833497047424,0.010916640982031822
17, worst,worst,0.1136326715350151,0.30284033114395903,ADJ,negative_sentiment,True,negative,0.9890833497047424,0.010916640982031822
18, Van,Van,0.06809110939502716,0.16299309869087455,PROPN,other,True,negative,0.9890833497047424,0.010916640982031822
19, Dam,Dam,0.027076605707406998,0.03704737874566002,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
20,me,me,0.02630072832107544,0.034664845075254185,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
21, film,film,0.0827903226017952,0.20813086273782566,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
22, and,and,0.08665946125984192,0.22001206109553353,CCONJ,other,True,negative,0.9890833497047424,0.010916640982031822
23, one,one,0.04310627654194832,0.0862706595908331,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
24, of,of,0.032490894198417664,0.05367336225590921,ADP,other,True,negative,0.9890833497047424,0.010916640982031822
25, the,the,0.022852430120110512,0.024075946991442804,DET,other,True,negative,0.9890833497047424,0.010916640982031822
26, worst,worst,0.048650167882442474,0.10329462241858106,ADJ,negative_sentiment,True,negative,0.9890833497047424,0.010916640982031822
27, of,of,0.029258210211992264,0.04374656379635342,ADP,other,True,negative,0.9890833497047424,0.010916640982031822
28, any,any,0.04470790922641754,0.09118889005558818,ADV,other,True,negative,0.9890833497047424,0.010916640982031822
29, sort,sort,0.01769092306494713,0.00822619474243354,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
30, I,I,0.03477199748158455,0.06067808423074962,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
31, have,have,0.03519761562347412,0.06198505563067922,VERB,other,True,negative,0.9890833497047424,0.010916640982031822
32, ever,ever,0.027775811031460762,0.03919447087185486,ADV,other,True,negative,0.9890833497047424,0.010916640982031822
33, seen,seen,0.06076373532414436,0.14049248745115386,VERB,other,True,negative,0.9890833497047424,0.010916640982031822
34,.,.,0.022020824253559113,0.021522284502407396,PUNCT,other,False,negative,0.9890833497047424,0.010916640982031822
35, It,It,0.03158620744943619,0.050895285876070936,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
36, would,would,0.11133311688899994,0.2957789494519708,AUX,other,True,negative,0.9890833497047424,0.010916640982031822
37, appeal,appeal,0.03160611912608147,0.050956429867218704,VERB,positive_sentiment,True,negative,0.9890833497047424,0.010916640982031822
38, to,to,0.027027079835534096,0.0368952966520559,PART,other,True,negative,0.9890833497047424,0.010916640982031822
39, some,some,0.340664267539978,1.0,DET,other,True,negative,0.9890833497047424,0.010916640982031822
40,body,body,0.25284072756767273,0.7303149379986774,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
41, with,with,0.02109578438103199,0.018681708553694314,ADP,other,True,negative,0.9890833497047424,0.010916640982031822
42, no,no,0.041371818631887436,0.08094455466314562,DET,other,True,negative,0.9890833497047424,0.010916640982031822
43, depth,depth,0.08293269574642181,0.20856805657387534,NOUN,other,True,negative,0.9890833497047424,0.010916640982031822
44, whatever,whatever,0.08159764856100082,0.20446844634308198,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
45, who,who,0.153897225856781,0.4264831361612164,PRON,other,True,negative,0.9890833497047424,0.010916640982031822
46, requ,requ,0.02538161352276802,0.03184246361071706,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
47,ires,ires,0.0206020325422287,0.017165514885084245,UNKNOWN,other,True,negative,0.9890833497047424,0.010916640982031822
