token_index,token,clean_token,raw_gradient_score,normalized_gradient_score,pos,sentiment_category,meaningful_token,prediction,negative_probability,positive_probability
0,This,This,0.052594710141420364,0.03184176359989797,PRON,other,True,positive,0.3012375831604004,0.6987624168395996
1, is,is,0.11456762254238129,0.39100869681428424,VERB,other,True,positive,0.3012375831604004,0.6987624168395996
2, the,the,0.08791708946228027,0.23655427690614364,DET,other,True,positive,0.3012375831604004,0.6987624168395996
3, l,l,0.07681611180305481,0.17221803794178597,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
4,at,at,0.09373436868190765,0.270268592661505,ADV,other,True,positive,0.3012375831604004,0.6987624168395996
5,est,est,0.11302722245454788,0.3820812355407083,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
6, ent,ent,0.06429031491279602,0.09962419200417294,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
7,ry,ry,0.07851327210664749,0.182054010430391,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
8, in,in,0.0612340047955513,0.08191120274427385,ADP,other,True,positive,0.3012375831604004,0.6987624168395996
9, the,the,0.09459538757801056,0.2752586682343955,DET,other,True,positive,0.3012375831604004,0.6987624168395996
10, long,long,0.07522182911634445,0.1629782975281392,ADV,other,True,positive,0.3012375831604004,0.6987624168395996
11, series,series,0.0988764762878418,0.30006991952399886,NOUN,other,True,positive,0.3012375831604004,0.6987624168395996
12, of,of,0.07098432630300522,0.1384196503548818,ADP,other,True,positive,0.3012375831604004,0.6987624168395996
13, films,films,0.09459757804870605,0.275271363210499,NOUN,other,True,positive,0.3012375831604004,0.6987624168395996
14, with,with,0.07378869503736496,0.15467250146191933,SCONJ,other,True,positive,0.3012375831604004,0.6987624168395996
15, the,the,0.053535882383584976,0.03729637166572012,DET,other,True,positive,0.3012375831604004,0.6987624168395996
16, French,French,0.06473171710968018,0.10218235922960926,ADJ,other,True,positive,0.3012375831604004,0.6987624168395996
17, agent,agent,0.07170581072568893,0.14260104731393844,NOUN,other,True,positive,0.3012375831604004,0.6987624168395996
18,",",",",0.10792086273431778,0.35248708723380895,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
19, O,O,0.052321452647447586,0.030258086921076434,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
20,.,.,0.08020512014627457,0.1918591954429354,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
21,S,S,0.06591544300317764,0.1090426984078492,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
22,.,.,0.08039440214633942,0.19295618819093027,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
23,S,S,0.057485926896333694,0.06018904071643709,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
24,.,.,0.04821981489658356,0.006486852117669906,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
25, 11,11,0.0924643725156784,0.26290827005366324,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
26,7,7,0.06792658567428589,0.12069837049834366,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
27, (,(,0.10092730075120926,0.3119555693108452,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
28,the,the,0.06334496289491653,0.09414535985129606,DET,other,True,positive,0.3012375831604004,0.6987624168395996
29, French,French,0.051484473049640656,0.025407332233893708,ADJ,other,True,positive,0.3012375831604004,0.6987624168395996
30, answer,answer,0.06456856429576874,0.10123679941084948,NOUN,other,True,positive,0.3012375831604004,0.6987624168395996
31, to,to,0.0891161561012268,0.24350352409729922,PART,other,True,positive,0.3012375831604004,0.6987624168395996
32, James,James,0.053624022752046585,0.037807193323219815,PROPN,other,True,positive,0.3012375831604004,0.6987624168395996
33, Bond,Bond,0.21174713969230652,0.9542171663496342,PROPN,other,True,positive,0.3012375831604004,0.6987624168395996
34,),),0.09912937879562378,0.30153562792147726,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
35,.,.,0.07115495204925537,0.13940851990504244,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
36, The,The,0.06903458386659622,0.127119826217004,DET,other,True,positive,0.3012375831604004,0.6987624168395996
37, series,series,0.10185331106185913,0.31732230568833164,NOUN,other,True,positive,0.3012375831604004,0.6987624168395996
38, was,was,0.07800321280956268,0.17909793774647118,AUX,other,True,positive,0.3012375831604004,0.6987624168395996
39, la,la,0.08402077108621597,0.2139729802114901,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
40,un,un,0.1404164582490921,0.54081684182891,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
41,ched,ched,0.07786648720502853,0.17830553806457963,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
42, in,in,0.06695930659770966,0.11509245904385887,ADP,other,True,positive,0.3012375831604004,0.6987624168395996
43, the,the,0.07758080959320068,0.17664988000764723,DET,other,True,positive,0.3012375831604004,0.6987624168395996
44, early,early,0.12678611278533936,0.4618215326009901,ADJ,other,True,positive,0.3012375831604004,0.6987624168395996
45, 195,195,0.07583288103342056,0.16651967769873763,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
46,0's,0's,0.06803994625806808,0.12135535710179741,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
47,",",",",0.08152132481336594,0.1994873215942947,PUNCT,other,False,positive,0.3012375831604004,0.6987624168395996
48, and,and,0.08981271088123322,0.24754044013784413,CCONJ,other,True,positive,0.3012375831604004,0.6987624168395996
49, sp,sp,0.1103680282831192,0.36666975045196165,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
50,awn,awn,0.0996166318655014,0.3043595260412714,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
51,ed,ed,0.05960691720247269,0.07248133995040972,UNKNOWN,other,True,positive,0.3012375831604004,0.6987624168395996
52, at,at,0.0919589102268219,0.2599788395474846,ADV,other,True,positive,0.3012375831604004,0.6987624168395996
53, least,least,0.21964679658412933,1.0,ADV,other,True,positive,0.3012375831604004,0.6987624168395996
